	gi|410491675|ref|YP_006906897.1|	gi|410491180|ref|YP_006906402.1|	gi|410491776|ref|YP_006906998.1|	gi|410490805|ref|YP_006906027.1|	gi|410491319|ref|YP_006906541.1|	gi|410491862|ref|YP_006907130.1|	gi|410491366|ref|YP_006906588.1|	gi|410491551|ref|YP_006906773.1|	gi|410507466|ref|YP_006907084.1|	gi|410491272|ref|YP_006906494.1|	gi|713322753|ref|YP_009102368.1|	gi|422934581|ref|YP_007004542.1|	gi|712914998|ref|YP_009102635.1|	gi|713322464|ref|YP_009098548.1|	gi|431811068|ref|YP_007238135.1|	gi|9634120|ref|NP_037662.1|	gi|9634165|ref|NP_037697.1|	gi|356870678|ref|YP_004934108.1|	gi|401817591|ref|YP_006590033.1|	gi|30387380|ref|NP_848209.1|	gi|155370097|ref|YP_512255.2|	gi|418487632|ref|YP_007001972.1|	gi|414088503|ref|YP_006988681.1|	gi|414089191|ref|YP_006989359.1|	gi|414088030|ref|YP_006988213.1|	gi|414089560|ref|YP_006989712.1|	gi|414088836|ref|YP_006989009.1|	gi|414089910|ref|YP_006990057.1|	gi|658607725|ref|YP_009044728.1|	gi|399528545|ref|YP_006560467.1|	gi|658607992|ref|YP_009044962.1|	gi|472437228|ref|YP_007676639.1|	gi|658607314|ref|YP_009044305.1|	gi|472438189|ref|YP_007677968.1|	gi|658607773|ref|YP_009044771.1|	gi|658607897|ref|YP_009044882.1|	gi|658607945|ref|YP_009044923.1|	gi|658607213|ref|YP_009044218.1|	gi|115315629|ref|YP_764315.1|	gi|9629654|ref|NP_044947.1|	gi|194097522|ref|YP_002003989.1|	gi|115315573|ref|YP_764260.1|	gi|115304211|ref|YP_762512.1|	gi|422934279|ref|YP_007004320.1|	gi|51236745|ref|YP_063714.1|	gi|24371584|ref|NP_720325.1|	gi|389060536|ref|YP_006383887.1|	gi|422934327|ref|YP_007004361.1|	gi|392972711|ref|YP_006488671.1|	gi|589892714|ref|YP_009009150.1|	gi|526003597|ref|YP_008239542.1|	gi|239507397|ref|YP_002939708.1|	gi|658310460|ref|YP_009042650.1|	gi|712916121|ref|YP_009103886.1|	gi|225626398|ref|YP_002727893.1|	gi|589287155|ref|YP_009008899.1|	gi|327198110|ref|YP_004306640.1|	gi|589893044|ref|YP_009004371.1|	gi|21716107|ref|NP_663670.1|	gi|658608066|ref|YP_009045030.1|	gi|526244907|ref|YP_008320235.1|	gi|589286628|ref|YP_009006566.1|	gi|589286244|ref|YP_009005233.1|	gi|56694901|ref|YP_164411.1|	gi|197261558|ref|YP_002154373.1|	gi|712912424|ref|YP_009099335.1|	gi|31544027|ref|NP_852752.1|	gi|327198524|ref|YP_004327111.1|	gi|571798129|ref|YP_008770508.1|	gi|568191533|ref|YP_008771319.1|	gi|56692920|ref|YP_164302.1|	gi|431809885|ref|YP_007236774.1|	gi|401723040|ref|YP_006589958.1|	gi|388570782|ref|YP_006383765.1|	gi|423262378|ref|YP_007010971.1|	gi|410490644|ref|YP_006905866.1|	gi|658311423|ref|YP_009044178.1|	gi|658608195|ref|YP_009045152.1|	gi|431810359|ref|YP_007237241.1|	gi|414090228|ref|YP_006990345.1|	gi|238801894|ref|YP_002925097.1|	gi|66391761|ref|YP_238485.1|	gi|273809772|ref|YP_003344847.1|	gi|118430761|ref|YP_873986.1|	gi|526178059|ref|YP_008241884.1|	gi|388570350|ref|YP_006382290.1|	gi|189427163|ref|YP_001949839.1|	gi|215401205|ref|YP_002332510.1|	gi|431809503|ref|YP_007236397.1|	gi|157311160|ref|YP_001469205.1|	gi|16798784|ref|NP_463462.1|	gi|658607661|ref|YP_009044672.1|	gi|90592609|ref|YP_529869.1|	gi|23455798|ref|NP_695171.1|	gi|589286245|ref|YP_009005234.1|	gi|62909765|ref|YP_227604.1|	gi|560185958|ref|YP_008853724.1|	gi|593779760|ref|YP_009017588.1|	gi|23505446|ref|NP_700374.1|	gi|418489384|ref|YP_007003201.1|	gi|77999989|ref|YP_358759.1|	gi|48697259|ref|YP_025026.1|	gi|219563198|ref|YP_002455790.1|	gi|281416386|ref|YP_003347410.1|	gi|9632896|ref|NP_049925.1|	gi|418489801|ref|YP_007003553.1|	gi|30089891|ref|NP_839921.1|	gi|589893763|ref|YP_009010472.1|	gi|281416464|ref|YP_003347384.1|	gi|589286873|ref|YP_009007068.1|	gi|418487841|ref|YP_007002072.1|	gi|418487691|ref|YP_007002014.1|	gi|62362370|ref|YP_224235.1|	gi|389060403|ref|YP_006383610.1|	gi|422935503|ref|YP_007005399.1|	gi|81343947|ref|YP_398963.1|	gi|45686308|ref|YP_003891.1|	gi|330858470|ref|YP_004414845.1|	gi|712912864|ref|YP_009099719.1|	gi|399529107|ref|YP_006561152.1|	gi|422936742|ref|YP_007007009.1|	gi|526176468|ref|YP_008240294.1|	gi|414090193|ref|YP_006990310.1|	gi|41179311|ref|NP_958529.1|	gi|410491821|ref|YP_006907043.1|	gi|388604638|ref|YP_006382530.1|	gi|589287064|ref|YP_009007857.1|	gi|448260094|ref|YP_007237471.1|	gi|568191883|ref|YP_008771667.1|	gi|609216899|ref|YP_008770876.1|	gi|460042513|ref|YP_007517943.1|	gi|113200616|ref|YP_717779.1|	gi|557307673|ref|YP_008767000.1|	gi|557307849|ref|YP_008767172.1|	gi|392972774|ref|YP_006488733.1|	gi|643319056|ref|YP_009036372.1|	gi|41179239|ref|NP_958578.1|	gi|422935567|ref|YP_007005468.1|	gi|410491651|ref|YP_006906873.1|	gi|418487072|ref|YP_007001466.1|	gi|116222004|ref|YP_794059.1|	gi|589890684|ref|YP_009006539.1|	gi|167600488|ref|YP_001671987.1|	gi|557307465|ref|YP_008766810.1|	gi|563399074|ref|YP_008858919.1|	gi|563399591|ref|YP_008859431.1|	gi|356870601|ref|YP_004934031.1|	gi|526177162|ref|YP_008241011.1|	gi|526177519|ref|YP_008241351.1|	gi|526177094|ref|YP_008240947.1|	gi|589893826|ref|YP_009010711.1|	gi|526177931|ref|YP_008241758.1|	gi|13559865|ref|NP_112075.1|	gi|53793590|ref|YP_112490.1|	gi|658310639|ref|YP_009042880.1|	gi|658607525|ref|YP_009044543.1|	gi|9632419|ref|NP_049391.1|	gi|526178334|ref|YP_008242156.1|	gi|89152480|ref|YP_512311.1|	gi|85701380|ref|YP_459965.1|	gi|418489112|ref|YP_007002966.1|	gi|20065964|ref|NP_612830.1|	gi|215401145|ref|YP_002332400.1|	gi|509139913|ref|YP_008058799.1|	gi|156603993|ref|YP_001429939.1|	gi|12719429|ref|NP_075500.1|	gi|148727154|ref|YP_001285648.1|	gi|109289941|ref|YP_655473.1|	gi|525972259|ref|YP_008239783.1|	gi|589891998|ref|YP_009008365.1|	gi|431809797|ref|YP_007236687.1|	gi|460042902|ref|YP_007518356.1|	gi|281416253|ref|YP_003347602.1|	gi|658607811|ref|YP_009044802.1|	gi|126011093|ref|YP_001039918.1|	gi|90592638|ref|YP_529552.1|	gi|589892181|ref|YP_009008546.1|	gi|167832346|ref|YP_001686737.1|	gi|213163901|ref|YP_002321453.1|	gi|658307382|ref|YP_009043080.1|	gi|281416361|ref|YP_003347495.1|	gi|281416254|ref|YP_003347603.1|	gi|326536848|ref|YP_004306102.1|	gi|17488504|ref|NP_510982.1|	gi|422935795|ref|YP_007005694.1|	gi|712915294|ref|YP_009102786.1|	gi|389060323|ref|YP_006383454.1|	gi|333798108|ref|YP_004508379.1|	gi|134287336|ref|YP_001110719.1|	gi|209901238|ref|YP_002290877.1|	gi|414090366|ref|YP_006990479.1|
gi|157311160|ref|YP_001469205.1|	4.76	4.76	4.76	4.76	4.76	4.76	4.76	4.76	4.76	4.76	7.14	6.67	6.67	6.67	 16.67	 13.89	 13.89	 13.89	 40.57	 28.44	 27.52	 27.52	 17.65	 20.00	 15.29	 15.29	 15.29	 15.29	 13.46	 13.46	 13.46	 13.46	 13.46	 13.46	 16.33	 14.29	 14.29	 14.29	 20.69	 20.69	 20.69	 20.69	 20.69	 22.86	 20.00	 22.86	 22.86	 15.00	 15.00	 13.33	 18.52	 18.52	 18.18	 16.36	 16.36	 16.36	 14.55	 16.36	 19.81	 18.97	 16.95	 16.22	 16.22	 26.97	 23.75	 22.56	 36.62	 30.83	 40.31	 40.31	 28.67	 26.85	 26.71	 19.49	 24.14	 30.22	 30.43	 30.43	 32.52	 30.83	 34.40	 34.43	 34.43	 37.59	 37.59	 37.59	 39.16	 41.41	 40.00	100.00	 43.17	 41.01	 41.01	 44.53	9.26	9.80	 15.00	 11.32	 13.79	8.20	 12.07	 12.07	8.62	9.38	8.89	 11.11	 17.78	7.14	7.50	8.11	3.33	3.33	6.06	 11.11	 11.76	 11.76	5.88	5.88	 12.24	 10.20	 11.63	 11.63	 11.63	 12.50	4.76	5.26	2.63	1.96	2.17	2.17	 11.76	4.17	7.14	7.14	8.00	8.00	 11.36	9.09	 11.76	 11.76	 11.76	 10.71	3.45	3.45	 11.54	 11.54	 10.17	 17.07	 19.51	 19.51	 13.64	 12.12	 16.13	 13.89	0.00	0.00	6.38	3.45	2.94	2.94	5.88	5.56	8.11	8.11	8.82	8.82	9.30	 12.77	 12.77	5.13	8.70	7.69	0.00	0.00	4.55	7.14	9.09	 12.07	6.74	6.82	 12.35	7.32	 11.36	8.11	 14.63	 10.00	 10.59	 10.61	 10.45	9.23	9.23
gi|16798784|ref|NP_463462.1|	18.18	 15.15	 18.18	 18.18	 18.18	 18.18	 18.18	 18.18	 18.18	 18.18	 11.54	 11.11	 11.11	 11.11	 14.93	 13.43	 13.43	 13.43	 33.33	 23.39	 23.39	 23.39	 17.48	 21.82	 19.64	 19.64	 19.64	 19.64	4.00	4.00	4.00	4.00	4.00	4.00	 18.06	 16.67	 16.67	 16.67	 23.81	 23.81	 23.81	 23.81	 23.81	 12.96	 11.11	 12.96	 12.96	8.33	8.33	7.14	 13.43	 13.43	8.82	 11.11	 11.11	 12.50	6.94	8.33	 16.81	 17.69	 17.42	 17.14	 17.14	 20.67	 18.95	 17.72	 26.71	 25.76	 28.97	 28.97	 23.81	 22.30	 20.95	 17.16	 20.00	 20.78	 20.13	 20.78	 23.62	 36.00	 30.07	 32.86	 33.57	 35.04	 35.04	 35.04	 33.57	 32.14	 32.68	 43.17	100.00	 82.78	 35.26	 42.60	5.56	5.26	 10.96	1.64	4.48	2.82	6.76	6.76	6.94	9.09	6.90	 10.34	 10.17	 12.50	 10.53	5.71	6.90	6.90	0.00	 22.22	 23.53	 17.65	 17.65	 17.65	 11.32	 12.73	4.17	4.17	4.17	 16.00	0.00	3.33	0.00	4.44	5.00	5.00	8.70	 12.90	 17.24	 17.24	5.26	7.89	5.41	3.12	 16.00	 16.00	 16.00	7.69	3.70	3.70	 10.53	 11.11	 16.39	8.82	8.82	8.82	 17.14	7.41	 16.00	6.67	0.00	0.00	5.45	8.57	3.12	3.12	5.56	5.88	3.70	3.70	3.70	3.70	 11.11	 13.21	 13.21	5.26	 21.43	9.84	 13.04	0.00	0.00	7.69	 18.18	 10.00	 11.25	7.27	 11.76	4.84	 15.69	6.67	 10.42	0.00	7.69	 13.58	4.88	7.14	7.14
gi|658607661|ref|YP_009044672.1|	 18.18	 15.15	 18.18	 18.18	 18.18	 18.18	 18.18	 18.18	 18.18	 18.18	 11.54	 11.11	 11.11	 11.11	 14.93	 13.43	 13.43	 13.43	 32.50	 23.39	 22.58	 22.58	 14.56	 20.91	 18.75	 18.75	 18.75	 18.75	2.67	2.67	2.67	2.67	2.67	2.67	 16.67	 13.89	 15.28	 15.28	 21.43	 21.43	 21.43	 21.43	 21.43	 12.96	 11.11	 12.96	 12.96	9.72	9.72	7.14	 17.91	 17.91	 10.29	 12.50	 12.50	 13.89	9.72	 11.11	 15.97	 19.23	 18.94	 16.43	 16.43	 20.67	 20.26	 18.99	 21.92	 25.76	 28.97	 28.97	 23.81	 22.97	 18.24	 18.66	 21.48	 20.13	 19.48	 20.13	 23.62	 38.67	 32.17	 34.29	 35.00	 34.31	 34.31	 34.31	 33.57	 31.43	 30.72	 41.01	 82.78	100.00	 34.68	 44.38	2.78	3.51	 10.96	1.64	5.97	2.82	9.46	9.46	8.33	 11.36	6.90	 10.34	8.47	 15.00	 10.53	5.71	6.90	6.90	3.23	 22.22	 29.41	 17.65	 17.65	 17.65	 11.32	 10.91	4.17	2.08	2.08	 16.00	0.00	3.33	0.00	4.44	5.00	5.00	8.70	9.68	 17.24	 17.24	5.26	7.89	8.11	3.12	 14.00	 14.00	 14.00	7.69	3.70	3.70	 10.53	 11.11	 18.03	5.88	5.88	5.88	 17.14	7.41	 12.00	6.67	0.00	0.00	3.64	 11.43	3.12	3.12	5.56	 11.76	7.41	7.41	7.41	7.41	8.89	7.55	7.55	2.63	 21.43	9.84	4.35	0.00	0.00	7.69	 18.18	 15.00	 11.25	7.27	 13.73	6.45	 15.69	8.89	 12.50	0.00	8.65	 12.35	3.66	5.95	5.95
gi|90592609|ref|YP_529869.1|	11.54	 11.54	 11.54	 11.54	 11.54	 11.54	 11.54	 11.54	 11.54	 11.54	 10.42	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 30.70	 26.05	 27.73	 27.73	 20.41	 18.69	 14.68	 14.68	 14.68	 14.68	 14.49	 14.49	 14.49	 14.49	 14.49	 14.49	 18.18	 18.18	 18.18	 18.18	 15.91	 15.91	 15.91	 15.91	 15.91	 21.28	 19.15	 21.28	 21.28	 18.18	 18.18	 13.64	 14.75	 14.75	 11.29	 10.77	 10.77	 10.77	 15.38	 15.38	 16.52	 18.94	 17.16	 24.64	 24.64	 26.35	 25.17	 24.36	 21.53	 23.08	 29.29	 29.29	 22.89	 22.22	 23.61	 15.91	 20.30	 26.00	 26.00	 26.00	 26.83	 33.56	 31.69	 33.09	 33.09	 26.32	 26.32	 26.32	 30.88	 31.11	 27.70	 41.01	 35.26	 34.68	100.00	 45.35	8.11	5.77	 10.29	 10.71	9.68	9.09	7.25	5.80	 11.94	 12.82	 13.21	9.43	 12.96	 15.79	 11.11	6.06	8.33	8.33	3.70	 11.11	 11.76	 11.76	5.88	5.88	8.00	3.85	4.55	9.09	9.09	 23.08	 12.90	9.68	 12.90	2.33	5.13	5.13	4.76	 10.00	 10.00	 10.00	 18.42	 18.42	 12.82	9.68	 22.22	 22.22	 22.22	 13.04	0.00	0.00	 13.33	 13.33	 11.48	8.57	8.57	8.57	 19.44	7.41	 12.00	 10.00	0.00	0.00	1.92	7.14	8.00	8.00	6.90	 11.11	 14.29	 14.29	 14.29	 14.29	7.50	 12.50	 12.50	8.33	 14.29	 11.11	5.88	0.00	9.09	 11.11	 13.04	 11.67	9.33	7.14	7.22	8.93	 10.42	 14.63	 10.42	 22.22	9.09	7.89	2.60	6.33	6.33
gi|23455798|ref|NP_695171.1|	11.54	7.69	 11.54	 11.54	 11.54	 11.54	 11.54	 11.54	 11.54	 11.54	8.51	8.16	8.16	8.16	 15.00	 13.33	 13.33	 13.33	 27.19	 22.69	 24.37	 24.37	 17.35	 18.63	 15.38	 15.38	 15.38	 15.38	 10.29	 10.29	 10.29	 10.29	 10.29	 10.29	 20.00	 18.46	 18.46	 18.46	 15.91	 15.91	 15.91	 15.91	 15.91	 14.89	 12.77	 14.89	 14.89	 12.12	 12.12	9.09	 16.39	 16.39	6.45	9.23	9.23	 10.77	 10.77	 13.85	 24.35	 19.85	 17.29	 19.85	 19.85	 24.49	 22.00	 19.48	 24.65	 21.09	 30.71	 30.71	 21.34	 20.83	 22.22	 16.79	 19.85	 20.81	 20.81	 20.81	 26.83	 41.22	 30.50	 31.16	 31.88	 32.06	 32.06	 32.06	 30.15	 31.11	 31.08	 44.53	 42.60	 44.38	 45.35	100.00	8.11	4.00	7.58	5.56	8.33	3.12	7.46	7.46	6.15	5.41	3.92	7.84	9.62	 13.89	 14.29	6.25	8.33	8.33	0.00	 22.22	 23.53	 17.65	 11.76	 11.76	 10.42	 18.00	4.55	2.27	2.27	 23.08	6.45	3.23	6.45	4.65	5.13	5.13	 14.29	3.57	 16.67	 16.67	 13.89	 13.89	 13.51	6.67	 15.56	 15.56	 15.56	9.09	0.00	0.00	 13.33	6.67	 18.64	8.82	 11.76	 11.76	 20.00	 11.11	 20.00	 13.33	0.00	0.00	8.00	7.14	8.00	8.00	 13.79	 11.11	9.52	9.52	9.52	9.52	 10.26	 17.02	 17.02	5.71	 21.43	9.52	 17.65	0.00	0.00	 11.11	 13.04	 20.00	 12.00	5.56	 13.68	 11.11	 14.58	7.32	 10.64	 22.22	 12.37	 13.51	5.33	7.79	7.79
gi|589286245|ref|YP_009005234.1|	7.14	9.52	 12.07	 12.07	 12.07	 12.07	 12.07	 12.07	 12.07	 12.07	8.70	9.52	9.52	9.52	 12.82	 15.38	 15.38	 15.38	9.52	7.59	 10.00	 10.26	8.33	 10.42	8.33	8.33	8.33	8.33	7.14	7.14	7.14	7.14	7.14	7.14	5.00	5.00	5.00	5.00	 10.40	9.60	 10.40	 10.40	 10.40	 10.53	 11.83	 10.75	 10.75	8.33	 10.00	-nan	 11.32	 11.32	 15.38	 13.46	 13.46	 13.46	 15.38	 15.38	2.70	 12.82	 12.82	7.96	7.96	6.14	 11.36	 10.77	5.17	5.41	3.28	3.28	6.02	4.49	6.82	 14.29	 14.71	2.50	2.56	2.56	4.88	5.88	7.41	7.41	7.41	8.57	8.57	8.57	9.68	9.30	8.11	9.26	5.56	2.78	8.11	8.11	100.00	 11.36	8.99	 12.90	 16.49	 12.09	 17.07	 17.07	 12.24	 10.00	 11.39	 15.38	 17.72	8.11	7.63	9.90	4.76	4.76	5.05	 12.23	 14.39	 13.18	9.49	9.49	 14.50	 11.32	 17.59	 16.82	 16.82	9.09	8.70	9.65	9.65	 15.69	 14.67	 14.67	8.62	8.47	6.99	7.04	 11.90	 11.11	 11.88	 11.32	 12.29	 12.29	 12.29	6.45	8.77	8.77	9.62	3.92	9.90	9.09	9.09	9.09	9.57	8.42	 10.00	 11.32	 16.92	 16.92	7.34	8.47	5.36	5.36	 15.79	8.93	 17.86	 17.86	 16.67	 16.67	 13.25	 10.96	 10.96	 15.17	5.26	 11.81	8.05	6.76	4.17	8.94	8.33	6.32	5.66	8.33	 10.20	 25.00	 12.36	4.65	 11.97	6.00	6.45	7.53	9.52	8.64	8.64
gi|62909765|ref|YP_227604.1|	10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	2.22	2.22	2.22	2.22	 13.11	 11.48	 11.48	 11.48	 11.49	6.59	8.89	8.89	8.16	5.88	5.88	5.88	5.88	5.88	8.70	8.70	8.70	8.70	8.70	8.70	6.35	6.35	6.35	6.35	 10.26	 10.26	7.69	7.69	7.69	 21.74	 21.74	 17.39	 21.74	 20.39	 20.39	 29.17	 21.05	 21.05	 17.02	 16.13	 16.13	 15.05	 19.35	 19.35	9.09	2.56	2.50	9.30	9.30	 10.47	 12.09	 10.75	 11.48	5.88	8.43	8.43	7.92	7.37	9.28	6.82	0.00	5.66	5.66	5.66	 11.11	5.45	5.66	6.00	6.00	3.33	3.33	3.33	9.23	9.23	 11.54	9.80	5.26	3.51	5.77	4.00	 11.36	100.00	 17.69	 23.94	 25.17	 21.09	 21.43	 19.84	 20.86	 21.95	 22.66	 21.71	 19.05	 10.94	2.99	6.25	 14.29	 14.29	 13.95	 13.95	4.88	 18.42	 11.63	 11.63	9.41	 11.36	 14.29	 14.47	 14.47	8.47	 12.90	 10.34	 13.79	7.79	7.14	7.14	 17.57	 11.24	3.85	3.85	4.08	4.17	7.04	6.06	8.64	8.64	8.64	3.39	1.85	1.85	5.88	4.00	6.25	6.12	6.12	6.12	 11.76	 18.18	 11.90	 13.33	 10.00	 10.00	7.32	 20.00	 17.95	 17.95	 25.64	 11.36	 16.28	 16.28	 16.28	 16.28	 15.71	6.25	6.25	6.52	0.00	3.33	6.67	5.88	 15.79	9.38	 11.11	 16.22	8.06	6.67	 12.36	 19.30	3.39	 10.00	8.06	 13.33	 10.00	 10.26	6.25	9.64	9.64
gi|560185958|ref|YP_008853724.1|	 13.33	 13.33	 16.67	 16.67	 13.33	 16.67	 13.33	 16.67	 13.33	 13.33	3.57	3.51	3.51	3.51	 13.16	 14.47	 14.47	 14.47	 15.69	 14.02	 13.21	 13.21	 15.07	 13.16	 13.16	 13.16	 13.16	 13.16	 10.13	 10.13	 10.13	 10.13	 10.13	 10.13	 11.11	 11.11	 11.11	 11.11	 12.20	 12.20	 12.20	 12.20	 12.20	 20.00	 20.00	 20.00	 20.00	 20.00	 20.00	 29.63	 26.00	 26.00	 34.00	 30.69	 30.69	 31.68	 30.69	 29.70	 16.67	 13.73	 13.46	 10.53	 10.53	 10.64	9.09	 10.10	8.22	8.20	 12.09	 12.09	 14.16	 11.65	 18.10	6.90	 10.34	 15.62	 15.62	 15.62	8.93	 14.93	 13.43	 12.12	 10.61	 14.29	 14.29	 14.29	 12.16	 10.81	7.69	 15.00	 10.96	 10.96	 10.29	7.58	8.99	 17.69	100.00	 14.39	 17.12	 23.13	 18.75	 19.44	 17.88	 23.46	 21.71	 25.38	 24.22	3.51	3.28	4.65	 14.29	 14.29	9.30	 11.90	7.50	8.11	4.76	4.76	 13.75	9.41	 16.22	 15.07	 15.07	 13.73	8.93	9.62	 13.46	8.96	 10.00	 10.00	8.11	9.09	 14.81	 14.81	2.22	2.22	9.84	4.84	5.71	5.71	5.71	5.00	5.45	5.45	 10.20	6.25	 10.29	5.88	3.92	3.92	 15.38	 13.04	 13.64	 10.64	 10.00	 10.00	 12.79	 23.08	 28.57	 28.57	 25.64	 11.36	 20.00	 20.00	 20.00	 20.00	 14.49	6.25	6.25	 12.50	0.00	7.41	3.33	0.00	 15.79	 14.81	0.00	6.00	4.62	9.30	9.28	 10.53	 11.29	9.52	8.20	 16.67	 10.20	 13.41	8.54	5.95	5.95
gi|593779760|ref|YP_009017588.1|	6.67	6.67	6.67	6.67	6.67	6.67	6.67	6.67	6.67	6.67	 12.50	 12.50	 12.50	 12.50	 20.00	 16.92	 16.92	 16.92	7.53	6.19	6.25	6.25	6.90	 10.00	8.33	8.33	8.33	8.33	8.45	8.45	8.45	8.45	8.45	8.45	 10.77	 10.77	 10.77	 10.77	 11.90	 11.90	 14.29	 14.29	 14.29	 16.00	 16.00	 16.00	 16.00	 24.76	 24.76	 23.08	 21.65	 21.65	 25.00	 23.16	 23.16	 22.11	 24.21	 25.26	8.51	2.38	2.33	9.78	9.78	6.74	 11.70	9.47	 10.77	9.43	8.14	8.14	9.26	9.09	8.91	 15.22	8.70	5.56	5.56	5.56	6.38	5.36	 10.71	9.26	9.26	7.94	7.94	7.94	8.82	 10.29	 12.50	 11.32	1.64	1.64	 10.71	5.56	 12.90	 23.94	 14.39	100.00	 42.86	 19.71	 20.90	 20.90	 29.93	 27.71	 29.01	 24.24	 24.81	9.84	 10.94	 13.04	7.32	7.32	 14.29	9.52	7.50	8.11	4.76	2.38	 12.20	 14.12	9.33	6.76	6.76	5.36	8.20	8.77	5.26	8.00	 10.29	 10.29	 13.51	 15.73	 10.71	 10.71	 10.20	8.33	5.88	4.62	9.09	9.09	9.09	5.08	5.56	5.56	5.77	 11.76	8.96	 13.73	 13.73	 13.73	 13.46	8.70	 11.36	 10.64	 10.53	 10.53	3.66	 15.38	 24.32	 24.32	 24.32	 13.95	 11.90	 11.90	 11.90	 11.90	8.33	7.81	7.81	6.25	0.00	6.56	3.45	 17.65	 10.53	 19.35	 11.76	6.82	7.69	2.78	7.45	5.17	 11.86	 18.33	7.94	0.00	6.82	8.54	6.17	8.24	8.24
gi|23505446|ref|NP_700374.1|	10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	 10.00	7.69	7.69	7.69	7.69	 18.84	 17.39	 17.39	 17.39	 10.89	 10.48	 10.58	 10.58	 12.12	 10.29	 10.29	 10.29	 10.29	 10.29	8.00	8.00	8.00	8.00	8.00	8.00	 10.14	 10.14	 10.14	 10.14	7.14	7.14	7.14	7.14	7.14	 18.52	 18.52	 18.52	 18.52	 23.85	 23.85	 22.22	 19.80	 19.80	 22.00	 21.21	 21.21	 20.20	 20.20	 20.20	7.84	2.08	2.04	6.19	6.19	8.42	8.00	7.92	 15.49	6.78	8.70	8.70	 10.34	9.35	 10.09	3.85	1.92	 10.34	 10.34	 10.34	7.55	4.84	9.68	8.33	8.33	 10.29	 10.29	 10.29	8.11	8.11	6.45	 13.79	4.48	5.97	9.68	8.33	 16.49	 25.17	 17.12	 42.86	100.00	 17.24	 20.42	 20.42	 24.18	 28.57	 22.56	 21.05	 25.19	4.84	4.62	6.38	9.52	9.52	 11.63	9.52	5.00	5.41	4.76	4.76	 13.25	 12.79	 11.84	8.00	8.00	8.93	 14.75	 14.04	 15.79	 13.33	 13.24	 13.24	 18.67	 15.56	7.14	7.14	2.00	0.00	7.25	9.09	 11.54	 11.54	 11.54	 11.67	5.45	5.45	0.00	7.84	 15.94	 11.32	 11.32	 11.32	 22.22	 14.58	 19.57	 20.41	 10.00	 10.00	9.41	 17.50	 21.05	 21.05	 28.95	 27.27	 13.95	 13.95	 13.95	 13.95	 12.16	7.46	7.46	 12.00	0.00	9.23	3.33	5.88	 10.53	 12.90	5.88	 19.15	 13.04	 15.79	 10.31	 10.17	8.06	 11.11	6.06	6.67	6.25	7.06	8.33	 10.23	 10.23
gi|418489384|ref|YP_007003201.1|	7.41	7.41	7.41	7.41	7.41	7.41	7.41	7.41	7.41	7.41	5.66	7.41	7.41	7.41	 16.18	 14.71	 14.71	 14.71	 10.42	9.00	9.09	9.09	 12.68	8.22	9.59	9.59	9.59	9.59	 10.67	 10.67	 10.67	 10.67	 10.67	 10.67	 11.76	 11.76	 11.76	 11.76	 15.00	 15.00	 15.00	 15.00	 15.00	 26.67	 26.67	 26.67	 26.67	 23.81	 23.81	 25.93	 26.26	 26.26	 24.24	 23.23	 23.23	 24.24	 27.27	 27.27	9.43	2.00	1.96	7.61	7.61	7.87	8.51	9.38	5.48	9.84	6.98	6.98	 10.19	7.14	 12.00	5.45	1.82	6.45	6.45	6.45	9.09	7.58	7.58	7.94	7.94	8.57	8.57	 10.00	8.70	7.25	7.81	8.20	2.82	2.82	9.09	3.12	 12.09	 21.09	 23.13	 19.71	 17.24	100.00	 26.81	 26.81	 24.66	 25.64	 25.40	 25.40	 24.00	 11.86	6.45	4.65	 14.29	 14.29	 11.63	9.52	7.50	8.11	7.14	7.14	 13.58	 13.10	8.22	6.94	6.94	9.80	7.14	 13.46	9.62	 10.77	 10.34	 10.34	 13.51	 11.11	0.00	0.00	6.67	6.67	8.20	4.84	8.82	8.82	8.82	6.67	 10.91	 10.91	 14.89	 19.57	7.35	8.00	 10.00	 10.00	 15.38	4.44	4.65	4.35	5.00	5.00	5.95	 11.76	 31.25	 31.25	 24.24	 13.16	 13.89	 13.89	 13.89	 13.89	 11.94	8.96	8.96	6.00	0.00	 11.11	6.67	5.88	5.26	 18.52	0.00	 14.89	7.81	 16.22	 10.75	5.66	8.33	8.20	6.45	0.00	9.38	9.52	 12.50	 13.25	 13.25
