qgi	qlen	sgi	sacc	slen	pident	nident	bitscore	evalue	staxids	superkingdom	phylum	class	order	family	genus	species	queryDesc	hostTaxid	hostInfo	condensedHostInfo	hostSpecies	virusTaxid	virusInfo	hitProtDesc	hitOrgDesc	numberOfProteins	numberOfHomologousProteins	fractionOfHomologousProteins
gi|157166006|ref|YP_001449258.1|	218	447005126	WP_001082382	218	100.0	218	448.0	5.999999999999998e-158	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PBV4795_ORF21	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	transcriptional regulator	Escherichia coli	85	84	0.9882352941176472
gi|157166007|ref|YP_001449259.1|	95	446789187	WP_000866443	95	100.0	95	197.0	1e-62	561	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia		hypothetical protein PBV4795_ORF22	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	MULTISPECIES: type II toxin-antitoxin system HigB family toxin	Escherichia	85	84	0.9882352941176472
gi|157166015|ref|YP_001449267.1|	141	485888544	WP_001481644	141	100.0	141	291.0	1.9999999999999996e-98	543;386585								hypothetical protein PBV4795_ORF30	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	MULTISPECIES: restriction alleviation protein, Lar family	Enterobacteriaceae	85	84	0.9882352941176472
gi|157166028|ref|YP_001449280.1|	645	446065143	WP_000142998	645	100.0	645	1332.0	0.0	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein YjhS	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	DUF1737 domain-containing protein	Escherichia coli	85	84	0.9882352941176472
gi|157166029|ref|YP_001449281.1|	59	446065607	WP_000143462	59	100.0	59	124.0	2e-35	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PBV4795_ORF44	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	DUF1378 domain-containing protein	Escherichia coli	85	84	0.9882352941176472
gi|157166030|ref|YP_001449282.1|	148	1196684110	WP_086253013	132	76.52	101	184.0	2e-56	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PBV4795_ORF45	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	DUF826 domain-containing protein	Escherichia coli	85	84	0.9882352941176472
gi|157166032|ref|YP_001449284.1|	114	446653890	WP_000731236	114	100.0	114	228.0	2e-74	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PBV4795_ORF47	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	DUF1327 domain-containing protein	Escherichia coli	85	84	0.9882352941176472
gi|157166037|ref|YP_001449289.1|	75	446017881	WP_000095736	75	100.0	75	155.0	5e-47	562;386585								hypothetical protein PBV4795_ORF52	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	DUF3950 domain-containing protein	Escherichia coli	85	84	0.9882352941176472
gi|157166038|ref|YP_001449290.1|	121	446201941	WP_000279796	121	100.0	121	246.0	2.9999999999999994e-81	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PBV4795_ORF53	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	HNH endonuclease	Escherichia coli	85	84	0.9882352941176472
gi|157166044|ref|YP_001449296.1|	461	1201929794	WP_087614046	915	98.26	453	929.0	0.0	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PBV4795_ORF59	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	phage portal protein	Escherichia coli	85	84	0.9882352941176472
gi|157166045|ref|YP_001449297.1|	108	446048135	WP_000125990	108	100.0	108	216.0	5.999999999999999e-70	543	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			hypothetical protein PBV4795_ORF60	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	MULTISPECIES: phage gp6-like head-tail connector protein	Enterobacteriaceae	85	84	0.9882352941176472
gi|157166051|ref|YP_001449303.1|	93	447157015	WP_001234271	93	100.0	93	187.0	6.999999999999998e-59	562;386585								hypothetical protein PBV4795_ORF66	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	196242	Enterobacteria phage BP-4795	phage tail protein	Escherichia coli	85	84	0.9882352941176472
gi|311992999|ref|YP_004009865.1|	511	1124492007	WP_074777164	452	55.07	228	430.0	1.9999999999999994e-142	1158459	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia sacchari	hypothetical protein CC31p007	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	709484	Enterobacteria phage CC31	SGNH/GDSL hydrolase family protein	Kosakonia sacchari	279	154	0.5519713261648745
gi|311993047|ref|YP_004009913.1|	108	506501679	WP_015969224	105	45.26	43	83.2	7.000000000000001e-18	2	Bacteria							hypothetical protein CC31p055	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	709484	Enterobacteria phage CC31	MULTISPECIES: DUF2654 domain-containing protein	Bacteria	279	154	0.5519713261648745
gi|311993085|ref|YP_004009951.1|	87	506587934	WP_016054134	87	94.25	82	172.0	2.9999999999999997e-53	2	Bacteria							hypothetical protein CC31p093	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	709484	Enterobacteria phage CC31	MULTISPECIES: DUF4031 domain-containing protein	Bacteria	279	154	0.5519713261648745
gi|311993117|ref|YP_004009983.1|	120	506587953	WP_016054153	120	78.33	94	200.0	3.999999999999999e-63	2	Bacteria							hypothetical protein CC31p125	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	709484	Enterobacteria phage CC31	MULTISPECIES: autonomous glycyl radical cofactor GrcA	Bacteria	279	154	0.5519713261648745
gi|311993171|ref|YP_004010037.1|	181	1175371629	WP_081919421	291	36.59	60	83.6	4e-16	160808	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrivorans	hypothetical protein CC31p179	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	709484	Enterobacteria phage CC31	DUF4326 domain-containing protein	Acidithiobacillus ferrivorans	279	154	0.5519713261648745
gi|311993174|ref|YP_004010040.1|	193	506586056	WP_016052256	64	52.46	32	68.2	7e-12	1496	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	hypothetical protein CC31p182	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	709484	Enterobacteria phage CC31	DUF2774 domain-containing protein	Clostridioides difficile	279	154	0.5519713261648745
gi|311993180|ref|YP_004010046.1|	55	506501803	WP_015969346	55	85.45	47	99.8	1e-25	1396	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	hypothetical protein CC31p188	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	709484	Enterobacteria phage CC31	DUF2685 domain-containing protein	Bacillus cereus	279	154	0.5519713261648745
gi|311993207|ref|YP_004010073.1|	109	506501833	WP_015969376	102	53.85	56	107.0	2e-27	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	hypothetical protein CC31p215	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	709484	Enterobacteria phage CC31	DUF2693 domain-containing protein	Salmonella enterica	279	154	0.5519713261648745
gi|311993227|ref|YP_004010093.1|	103	1167889612	WP_080181535	108	81.63	80	169.0	9.999999999999999e-52	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	hypothetical protein CC31p235	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	709484	Enterobacteria phage CC31	DUF4326 domain-containing protein	Salmonella enterica	279	154	0.5519713261648745
gi|148609388|ref|YP_001272519.1|	107	1149952042	WP_077878993	122	100.0	107	211.0	7.999999999999999e-68	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PcdtI_gp06	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	DUF2190 domain-containing protein	Escherichia coli	60	59	0.9833333333333332
gi|148609389|ref|YP_001272520.1|	86	447205889	WP_001283145	91	100.0	81	167.0	3e-51	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PcdtI_gp07	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	DNA breaking-rejoining protein	Escherichia coli	60	59	0.9833333333333332
gi|148609404|ref|YP_001272535.1|	102	485662317	WP_001303854	102	97.06	99	201.0	2.9999999999999994e-64	562;386585								hypothetical protein PcdtI_gp22	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	phage tail protein	Escherichia coli	60	59	0.9833333333333332
gi|148609407|ref|YP_001272538.1|	90	1240324847	WP_095585898	123	96.63	86	178.0	4e-55	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PcdtI_gp25	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	integrase	Escherichia coli	60	59	0.9833333333333332
gi|148609412|ref|YP_001272543.1|	82	447140283	WP_001217539	82	100.0	82	167.0	9.999999999999999e-52	543	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			hypothetical protein PcdtI_gp30	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	MULTISPECIES: DNA-damage-inducible protein DinI	Enterobacteriaceae	60	59	0.9833333333333332
gi|148609416|ref|YP_001272547.1|	64	657343711	WP_029402496	82	98.44	63	136.0	1e-39	543	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			hypothetical protein PcdtI_gp34	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	MULTISPECIES: DNA-binding protein	Enterobacteriaceae	60	59	0.9833333333333332
gi|148609419|ref|YP_001272550.1|	178	506520457	WP_015987618	178	100.0	178	372.0	2.999999999999999e-129	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PcdtI_gp37	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	HD family hydrolase	Escherichia coli	60	59	0.9833333333333332
gi|148609420|ref|YP_001272551.1|	274	446003446	WP_000081301	274	100.0	274	559.0	0.0	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PcdtI_gp38	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	DUF2303 domain-containing protein	Escherichia coli	60	59	0.9833333333333332
gi|148609428|ref|YP_001272559.1|	294	506520460	WP_015987621	294	100.0	294	602.0	0.0	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PcdtI_gp46	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	helix-turn-helix domain-containing protein	Escherichia coli	60	59	0.9833333333333332
gi|148609432|ref|YP_001272563.1|	269	1149962172	WP_077889025	285	100.0	269	564.0	0.0	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PcdtI_gp50	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	DNA-binding protein	Escherichia coli	60	59	0.9833333333333332
gi|148609433|ref|YP_001272564.1|	305	1149120212	WP_077695966	331	100.0	305	630.0	0.0	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein PcdtI_gp51	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	414970	Enterobacteria phage cdtI	DUF968 domain-containing protein	Escherichia coli	60	59	0.9833333333333332
gi|182682903|ref|YP_001837027.1|	102	914807056	WP_050735516	119	37.74	40	69.7	1e-12	407	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium		hypothetical protein AGC_0104	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	491003	Escherichia phage Eps7	MULTISPECIES: DUF3307 domain-containing protein	Methylobacterium	170	41	0.2411764705882353
gi|30387383|ref|NP_848212.1|	556	555247265	WP_023231192	556	99.82	555	1145.0	0.0	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	hypothetical protein epsilon15p04	28901	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Salmonella Salmonella enterica	Proteobacteria Gammaproteobacteria Enterobacteriales	Salmonella enterica	215158	Salmonella phage epsilon15	phage head-tail connector protein	Salmonella enterica	51	49	0.9607843137254902
gi|30387386|ref|NP_848215.1|	335	506503531	WP_015971041	335	100.0	335	696.0	0.0	543	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			hypothetical protein epsilon15p07	28901	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Salmonella Salmonella enterica	Proteobacteria Gammaproteobacteria Enterobacteriales	Salmonella enterica	215158	Salmonella phage epsilon15	MULTISPECIES: phage capsid protein	Enterobacteriaceae	51	49	0.9607843137254902
gi|30387394|ref|NP_848223.1|	842	506503539	WP_015971049	842	100.0	842	1721.0	0.0	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	hypothetical protein epsilon15p15	28901	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Salmonella Salmonella enterica	Proteobacteria Gammaproteobacteria Enterobacteriales	Salmonella enterica	215158	Salmonella phage epsilon15	minor structural protein	Salmonella enterica	51	49	0.9607843137254902
gi|30387396|ref|NP_848225.1|	918	506503541	WP_015971051	918	100.0	918	1892.0	0.0	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	hypothetical protein epsilon15p17	28901	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Salmonella Salmonella enterica	Proteobacteria Gammaproteobacteria Enterobacteriales	Salmonella enterica	215158	Salmonella phage epsilon15	structural protein	Salmonella enterica	51	49	0.9607843137254902
gi|30387402|ref|NP_848231.1|	134	447198742	WP_001275998	134	97.01	130	258.0	2e-85	543	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			hypothetical protein epsilon15p23	28901	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Salmonella Salmonella enterica	Proteobacteria Gammaproteobacteria Enterobacteriales	Salmonella enterica	215158	Salmonella phage epsilon15	MULTISPECIES: membrane protein	Enterobacteriaceae	51	49	0.9607843137254902
gi|30387410|ref|NP_848239.1|	99	506503555	WP_015971065	99	100.0	99	199.0	1.9999999999999996e-63	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	hypothetical protein epsilon15p31	28901	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Salmonella Salmonella enterica	Proteobacteria Gammaproteobacteria Enterobacteriales	Salmonella enterica	215158	Salmonella phage epsilon15	PerC family transcriptional regulator	Salmonella enterica	51	49	0.9607843137254902
gi|30387412|ref|NP_848241.1|	82	506503556	WP_015971066	82	100.0	82	170.0	2e-52	543	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			hypothetical protein epsilon15p33	28901	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Salmonella Salmonella enterica	Proteobacteria Gammaproteobacteria Enterobacteriales	Salmonella enterica	215158	Salmonella phage epsilon15	MULTISPECIES: AlpA family phage regulatory protein	Enterobacteriaceae	51	49	0.9607843137254902
gi|30387426|ref|NP_848255.1|	251	506503570	WP_015971080	251	100.0	251	514.0	0.0	28901	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	hypothetical protein epsilon15p47	28901	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Salmonella Salmonella enterica	Proteobacteria Gammaproteobacteria Enterobacteriales	Salmonella enterica	215158	Salmonella phage epsilon15	DUF551 domain-containing protein	Salmonella enterica	51	49	0.9607843137254902
gi|169936050|ref|YP_001718749.1|	565	1109564788	WP_071892914	583	100.0	565	1164.0	0.0	28901;99287								hypothetical protein STM2723.1.Fels2	99287	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Salmonella Salmonella enterica Salmonella enterica subsp. enterica Salmonella enterica subsp. enterica serovar Typhimurium Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Proteobacteria Gammaproteobacteria Enterobacteriales	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	194701	Salmonella phage Fels-2	Fels-2 prophage protein	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	47	46	0.9787234042553192
gi|169936060|ref|YP_001718759.1|	77	446880519	WP_000957775	77	100.0	77	160.0	8e-49	28901;99287								hypothetical protein STM2735.Fels2	99287	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Salmonella Salmonella enterica Salmonella enterica subsp. enterica Salmonella enterica subsp. enterica serovar Typhimurium Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Proteobacteria Gammaproteobacteria Enterobacteriales	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	194701	Salmonella phage Fels-2	DUF2724 domain-containing protein	Salmonella enterica	47	46	0.9787234042553192
gi|557307617|ref|YP_008766951.1|	74	446479849	WP_000557703	74	100.0	74	150.0	2.9999999999999995e-45	1236	Bacteria	Proteobacteria	Gammaproteobacteria					hypothetical protein	1045010	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli Escherichia coli O157	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli O157	1357825	Enterobacteria phage fiAA91-ss	MULTISPECIES: DUF2732 domain-containing protein	Gammaproteobacteria	40	40	1.0
gi|19343382|ref|NP_597892.1|	121	585364666	WP_024246253	119	96.64	115	241.0	9.999999999999997e-80	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein HK022p33	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	10742	Enterobacteria phage HK022	DUF551 domain-containing protein	Escherichia coli	57	56	0.9824561403508772
gi|19343393|ref|NP_597903.1|	96	445924395	WP_000002250	96	98.96	95	199.0	9.999999999999998e-64	543	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			hypothetical protein HK022p50	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	10742	Enterobacteria phage HK022	MULTISPECIES: DUF1364 domain-containing protein	Enterobacteriaceae	57	56	0.9824561403508772
gi|19343397|ref|NP_597907.1|	87	506598340	WP_016063049	113	98.85	86	182.0	8e-57	543	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			hypothetical protein HK022p57	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	10742	Enterobacteria phage HK022	MULTISPECIES: HNH endonuclease	Enterobacteriaceae	57	56	0.9824561403508772
gi|13559826|ref|NP_112036.1|	66	447086172	WP_001163428	66	100.0	66	140.0	2e-41	543;511145;1133852								hypothetical protein HK620p03	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	155148	Salmonella phage HK620	MULTISPECIES: transcriptional regulator	Enterobacteriaceae	58	57	0.9827586206896552
gi|13559827|ref|NP_112037.1|	59	447200512	WP_001277768	59	100.0	59	120.0	1e-33	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein HK620p04	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	155148	Salmonella phage HK620	Eag protein	Escherichia coli	58	57	0.9827586206896552
gi|13559828|ref|NP_112038.1|	177	935666004	WP_054494630	180	96.02	169	352.0	2.999999999999999e-121	562	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	hypothetical protein HK620p05	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	155148	Salmonella phage HK620	DUF551 domain-containing protein	Escherichia coli	58	57	0.9827586206896552
gi|13559832|ref|NP_112042.1|	54	447137200	WP_001214456	54	100.0	54	110.0	4e-30	543	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae			hypothetical protein HK620p09	562	root cellular organisms Bacteria Proteobacteria Gammaproteobacteria Enterobacteriales Enterobacteriaceae Escherichia Escherichia coli	Proteobacteria Gammaproteobacteria Enterobacteriales	Escherichia coli	155148	Salmonella phage HK620	MULTISPECIES: DUF2737 domain-containing protein	Enterobacteriaceae	58	57	0.9827586206896552
