## Complete genomes: Viruses (taxid 10239) filtered by host 'bacteria'
"Genome"	"Accession"	"Source information"	"Number of segments"	"Genome length"	"Number of proteins"	"Genome Neighbors"	"Host"	"Date completed"	"Date updated"
Escherichia phage D108	NC_013594	-	-	37235 nt	57	-	bacteria	12/15/2009	06/29/2010	
Escherichia phage EB49	NC_023743	-	-	47180 nt	74	-	bacteria	03/11/2014	03/11/2014	
Escherichia phage EC6	NC_027369	-	-	86231 nt	136	-	bacteria	06/24/2015	06/24/2015	
Escherichia phage ECBP1	NC_018854	-	-	69855 nt	82	-	bacteria	10/15/2012	01/30/2015	
Escherichia phage ECBP2	NC_018859	-	-	77315 nt	120	-	bacteria	10/15/2012	01/30/2015	
Escherichia phage ECBP5	NC_027330	-	-	45403 nt	62	-	bacteria	06/24/2015	11/17/2015	
Escherichia phage ECML-117	NC_025441	-	-	66854 nt	94	-	bacteria	11/25/2014	11/25/2014	
Escherichia phage ECML-134	NC_025449	-	-	166783 nt	270	-	bacteria	11/10/2014	11/10/2014	
Escherichia phage ECML-4	NC_025446	-	-	157308 nt	198	-	bacteria	11/25/2014	11/25/2014	
Escherichia phage EK99P-1	NC_024783	-	-	44332 nt	62	-	bacteria	09/09/2014	09/09/2014	
Escherichia phage Envy	NC_031081	-	-	45206 nt	62	-	bacteria	09/23/2016	09/23/2016	
Escherichia phage FFH2	NC_024134	-	-	139020 nt	218	-	bacteria	05/27/2014	11/06/2014	
Escherichia phage FV3	NC_019517	-	-	136947 nt	218	-	bacteria	11/21/2012	11/28/2012	
Escherichia phage Gluttony	NC_031113	-	-	44513 nt	61	2	bacteria	09/23/2016	09/23/2016	
Escherichia phage HK578	NC_019724	-	-	43741 nt	60	-	bacteria	12/07/2012	12/07/2012	
Escherichia phage HK639	NC_016158	-	-	49576 nt	76	-	bacteria	11/10/2011	11/10/2011	
Escherichia phage HK75	NC_016160	-	-	36661 nt	58	-	bacteria	11/10/2011	11/10/2011	
Escherichia phage HX01	NC_018855	-	-	169158 nt	62	-	bacteria	10/15/2012	11/21/2012	
Escherichia phage HY01	NC_027349	-	-	166977 nt	255	1	bacteria	06/24/2015	06/24/2015	
Escherichia phage HY02	NC_028872	-	-	86252 nt	125	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage HY03	NC_031047	-	-	170770 nt	269	-	bacteria	09/23/2016	09/23/2016	
Escherichia phage IME11	NC_019423	-	-	72570 nt	91	-	bacteria	11/13/2012	11/21/2012	
Escherichia phage JES2013	NC_022323	-	-	136910 nt	220	-	bacteria	09/12/2013	09/12/2013	
Escherichia phage JH2	NC_029023	-	-	87712 nt	131	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage JS98	NC_010105	-	-	170523 nt	266	-	bacteria	12/04/2007	03/26/2010	
Escherichia phage JSE	NC_012740	-	-	166418 nt	277	-	bacteria	06/01/2009	03/26/2010	
Escherichia phage K1-dep(1)	NC_027994	-	-	41632 nt	50	-	bacteria	10/07/2015	10/07/2015	
Escherichia phage K1-dep(4)	NC_027993	-	-	43587 nt	52	-	bacteria	10/07/2015	10/07/2015	
Escherichia phage K30	NC_015719	-	-	40940 nt	49	-	bacteria	06/29/2011	06/29/2011	
Escherichia phage KBNP1711	NC_023593	-	-	76184 nt	126	-	bacteria	03/04/2014	03/04/2014	
Escherichia phage LM33_P1	NC_031937	strain:LM33_P1	-	38979 nt	49	-	bacteria	06/16/2016	11/15/2016	
Escherichia phage Lw1	NC_021344	-	-	176227 nt	273	-	bacteria	06/03/2013	12/19/2013	
Escherichia phage MX01	NC_031934	-	-	168929 nt	266	-	bacteria	11/15/2016	11/15/2016	
Escherichia phage Min27	NC_010237	-	-	63395 nt	83	1	bacteria	03/25/2008	04/02/2010	
Escherichia phage NJ01	NC_018835	-	-	77448 nt	109	-	bacteria	10/15/2012	11/21/2012	
Escherichia phage P13374	NC_018846	-	-	60894 nt	79	3	bacteria	09/17/2012	11/01/2012	
Escherichia phage P483	NC_028822	-	-	40829 nt	45	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage P694	NC_028863	strain:P694	-	40477 nt	50	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage PA2	NC_028449	-	-	63569 nt	84	1	bacteria	11/18/2015	11/18/2015	
Escherichia phage PBECO 4	NC_027364	-	-	348113 nt	551	-	bacteria	06/24/2015	06/24/2015	
Escherichia phage PE3-1	NC_024379	isolate:PE3-1	-	39093 nt	48	-	bacteria	06/24/2014	08/23/2016	
Escherichia phage PhaxI	NC_019452	-	-	156628 nt	209	-	bacteria	11/16/2012	08/16/2013	
Escherichia phage Pollock	NC_027381	-	-	68365 nt	85	-	bacteria	06/24/2015	06/24/2015	
Escherichia phage QL01	NC_028847	-	-	170527 nt	275	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage RB3	NC_025419	-	-	168402 nt	273	5	bacteria	11/10/2014	01/30/2015	
Escherichia phage SUSP1	NC_028808	-	-	90743 nt	139	-	bacteria	01/05/2016	09/19/2016	
Escherichia phage SUSP2	NC_028935	-	-	88698 nt	131	-	bacteria	01/05/2016	09/19/2016	
Escherichia phage Seurat	NC_027378	-	-	56776 nt	88	-	bacteria	06/24/2015	06/24/2015	
Escherichia phage Stx2 II	NC_004914	strain:Stx2 phage-II	-	62706 nt	170	-	bacteria	06/24/2003	01/28/2016	
Escherichia phage TL-2011b	NC_019445	-	-	44784 nt	57	-	bacteria	11/16/2012	11/16/2012	
Escherichia phage TL-2011c	NC_019442	-	-	60523 nt	72	-	bacteria	11/16/2012	11/16/2012	
Escherichia phage UFV-AREG1	NC_031030	-	-	170788 nt	274	-	bacteria	09/23/2016	09/23/2016	
Escherichia phage V5	NC_011041	-	-	137947 nt	233	-	bacteria	07/11/2008	03/29/2013	
Escherichia phage WG01	NC_031928	-	-	169936 nt	273	-	bacteria	11/15/2016	11/15/2016	
Escherichia phage YD-2008.s	NC_027383	-	-	44613 nt	62	-	bacteria	06/24/2015	12/03/2015	
Escherichia phage e4/1c	NC_024210	-	-	47112 nt	72	-	bacteria	06/02/2014	06/02/2014	
Escherichia phage ime09	NC_019503	isolate:ime09	-	166499 nt	268	-	bacteria	11/21/2012	11/21/2012	
Escherichia phage phAPEC8	NC_020079	-	-	147737 nt	269	-	bacteria	02/05/2013	02/05/2013	
Escherichia phage phi191	NC_028660	-	-	61035 nt	87	4	bacteria	12/17/2015	12/17/2015	
Escherichia phage phiKT	NC_019520	-	-	42608 nt	31	-	bacteria	11/21/2012	11/21/2012	
Escherichia phage phiV10	NC_007804	-	-	39104 nt	55	-	bacteria	03/03/2006	03/26/2010	
Escherichia phage pro147	NC_028896	-	-	32675 nt	44	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage pro483	NC_028943	-	-	29237 nt	43	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage slur01	NC_028831	-	-	61235 nt	90	-	bacteria	10/05/2015	03/29/2016	
Escherichia phage slur02	NC_028927	-	-	167298 nt	266	3	bacteria	10/05/2015	03/29/2016	
Escherichia phage slur05	NC_028901	-	-	43900 nt	58	1	bacteria	10/01/2015	03/28/2016	
Escherichia phage slur07	NC_028780	-	-	167124 nt	266	-	bacteria	10/01/2015	03/29/2016	
Escherichia phage slur09	NC_028840	-	-	111751 nt	160	-	bacteria	10/09/2015	01/07/2016	
Escherichia phage slur14	NC_028448	-	-	167467 nt	272	2	bacteria	10/01/2015	03/28/2016	
Escherichia phage slur16	NC_028248	-	-	136896 nt	206	1	bacteria	10/01/2015	03/28/2016	
Escherichia phage vB_EcoM-UFV13	NC_031103	-	-	165772 nt	268	-	bacteria	09/23/2016	09/23/2016	
Escherichia phage vB_EcoM-VpaE1	NC_027337	isolate:VpaE1	-	88403 nt	132	-	bacteria	06/24/2015	06/24/2015	
Escherichia phage vB_EcoM-ep3	NC_025430	-	-	42351 nt	51	-	bacteria	11/10/2014	08/21/2015	
Escherichia phage vB_EcoM_112	NC_024125	-	-	168470 nt	279	-	bacteria	05/23/2014	12/03/2014	
Escherichia phage vB_EcoM_ACG-C40	NC_019399	-	-	167396 nt	282	-	bacteria	11/13/2012	11/13/2012	
Escherichia phage vB_EcoM_AYO145A	NC_028825	-	-	87372 nt	131	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage vB_EcoM_Alf5	NC_031082	-	-	87662 nt	133	-	bacteria	09/23/2016	09/23/2016	
Escherichia phage vB_EcoM_ECO1230-10	NC_027995	-	-	41666 nt	56	-	bacteria	10/08/2015	10/08/2015	
Escherichia phage vB_EcoM_JS09	NC_024124	-	-	169148 nt	273	-	bacteria	05/23/2014	07/24/2015	
Escherichia phage vB_EcoM_PhAPEC2	NC_024794	-	-	167318 nt	254	-	bacteria	09/09/2014	09/09/2014	
Escherichia phage vB_EcoM_VR20	NC_028894	-	-	170336 nt	286	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage vB_EcoM_VR25	NC_028925	-	-	170822 nt	293	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage vB_EcoM_VR26	NC_028957	-	-	171541 nt	291	-	bacteria	01/05/2016	01/05/2016	
Escherichia phage vB_EcoM_VR7	NC_014792	isolate:VR7	-	169285 nt	293	-	bacteria	12/10/2010	03/18/2015	
Escherichia phage vB_EcoP_24B	NC_027984	-	-	57677 nt	88	-	bacteria	10/07/2015	10/07/2015	
Escherichia phage vB_EcoP_G7C	NC_015933	isolate:G7C	-	72917 nt	79	-	bacteria	09/02/2011	04/04/2013	
Escherichia phage vB_EcoP_GA2A	NC_031943	-	-	40470 nt	56	-	bacteria	11/15/2016	11/15/2016	
Escherichia phage vB_EcoP_PhAPEC5	NC_024786	-	-	71248 nt	83	-	bacteria	09/09/2014	09/09/2014	
Escherichia phage vB_EcoP_PhAPEC7	NC_024790	-	-	71778 nt	83	-	bacteria	09/09/2014	09/09/2014	
Escherichia phage vB_EcoP_SU10	NC_027395	-	-	77327 nt	125	-	bacteria	06/24/2015	06/24/2015	
Escherichia phage vB_EcoS_AHP42	NC_024793	-	-	46847 nt	76	-	bacteria	09/09/2014	09/09/2014	
Escherichia phage vB_EcoS_AHS24	NC_024784	-	-	46440 nt	81	1	bacteria	09/09/2014	09/09/2014	
Escherichia phage vB_EcoS_AKS96	NC_024789	-	-	45746 nt	74	-	bacteria	09/09/2014	09/09/2014	
Escherichia phage vB_EcoS_FFH1	NC_024139	-	-	108483 nt	156	-	bacteria	05/27/2014	11/06/2014	
Escherichia phage vB_Eco_ACG-M12	NC_019404	strain:vB_EcoS_MSHS1210	-	46054 nt	78	-	bacteria	11/13/2012	11/13/2012	
Escherichia phage wV7	NC_019505	-	-	166452 nt	273	-	bacteria	11/21/2012	11/21/2012	
Escherichia phage wV8	NC_012749	-	-	88487 nt	140	-	bacteria	06/02/2009	03/26/2010	
Escherichia virus 186	NC_001317	-	-	30624 nt	46	-	bacteria	09/02/1995	07/26/2016	
Escherichia virus AKFV33	NC_017969	-	-	108853 nt	160	-	bacteria	05/29/2012	05/29/2012	
Escherichia virus BZ13	NC_001426	strain:Enterobacteria phage GA	-	3466 nt	4	4	bacteria	04/28/1993	02/10/2015	
Escherichia virus CBA120	NC_016570	strain:vB_EcoM_CBA120	-	157304 nt	204	-	bacteria	01/13/2012	01/13/2012	
Escherichia virus DT57C	NC_027356	-	-	108065 nt	133	-	bacteria	06/24/2015	12/10/2015	
Escherichia virus EPS7	NC_010583	-	-	111382 nt	170	-	bacteria	04/11/2008	04/14/2010	
Escherichia virus FI	NC_028902	strain:fi	-	4184 nt	4	5	bacteria	01/05/2016	01/05/2016	
Escherichia virus HK022	NC_002166	-	-	40751 nt	35	-	bacteria	02/04/2000	07/26/2016	
Escherichia virus HK97	NC_002167	-	-	39732 nt	61	-	bacteria	02/05/2000	05/06/2009	
Escherichia virus I22	NC_001332	-	-	6744 nt	9	-	bacteria	02/05/1990	03/26/2010	
Escherichia virus JL1	NC_019419	-	-	43457 nt	60	-	bacteria	11/13/2012	11/01/2013	
Escherichia virus K1-5	NC_008152	-	-	44385 nt	52	-	bacteria	06/13/2006	08/27/2013	
Escherichia virus K1E	NC_007637	-	-	45251 nt	62	-	bacteria	12/05/2005	04/17/2009	
Escherichia virus KP26	NC_007291	-	-	46072 nt	82	-	bacteria	08/05/2005	12/20/2007	
Escherichia virus Lambda	NC_001416	-	-	48502 nt	73	2	bacteria	04/28/1993	03/11/2011	
Escherichia virus M13	NC_003287	-	-	6407 nt	10	12	bacteria	06/09/1982	04/17/2009	
Escherichia virus MS2	NC_001417	-	-	3569 nt	4	17	bacteria	04/28/1993	02/10/2015	
Escherichia virus Mu	NC_000929	-	-	36717 nt	55	-	bacteria	10/05/1999	05/06/2009	
Escherichia virus N15	NC_001901	-	-	46375 nt	60	-	bacteria	06/07/1998	07/25/2016	
Escherichia virus N4	NC_008720	-	-	70153 nt	72	-	bacteria	12/27/2006	04/17/2009	
Escherichia virus P1	NC_005856	isolate:mod749::IS5 c1.100 mutant	-	94800 nt	110	2	bacteria	04/17/2004	08/27/2013	
Escherichia virus P2	NC_001895	-	-	33593 nt	43	1	bacteria	05/19/1998	03/26/2010	
Escherichia virus Qbeta	NC_001890	strain:Enterobacteria phage MX1	-	4215 nt	4	6	bacteria	04/25/1998	02/10/2015	
Escherichia virus RB16	NC_014467	-	-	176788 nt	270	-	bacteria	08/23/2010	11/15/2010	
Escherichia virus RB32	NC_008515	-	-	165890 nt	270	1	bacteria	10/21/2006	02/12/2013	
Escherichia virus RB43	NC_007023	-	-	180500 nt	292	2	bacteria	05/21/2005	03/26/2010	
Escherichia virus Rtp	NC_007603	-	-	46219 nt	75	-	bacteria	11/04/2005	05/07/2007	
Escherichia virus SSL2009a	NC_012223	-	-	44899 nt	67	-	bacteria	03/18/2009	01/15/2016	
Escherichia virus T1	NC_005833	-	-	48836 nt	78	-	bacteria	03/24/2004	05/06/2009	
Escherichia virus T4	NC_000866	-	-	168903 nt	278	6	bacteria	07/05/1999	10/30/2014	
Escherichia virus T5	NC_005859	-	-	121750 nt	162	2	bacteria	04/17/2004	12/08/2008	
Escherichia virus TLS	NC_009540	-	-	49902 nt	87	-	bacteria	06/08/2007	12/10/2008	
Escherichia virus Wphi	NC_005056	-	-	32684 nt	44	-	bacteria	08/05/2003	01/05/2016	
Escherichia virus phiEco32	NC_010324	-	-	77554 nt	128	-	bacteria	02/11/2008	03/29/2016	
Escherichia virus phiK	NC_001730	isolate:wild type	-	6089 nt	10	-	bacteria	07/30/1996	01/06/2016	
Flavobacterium phage 11b	NC_006356	-	-	36012 nt	65	-	bacteria	10/01/2004	09/22/2010	
Flavobacterium phage 1H	NC_031911	-	-	39290 nt	48	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage 2A	NC_031926	-	-	46575 nt	61	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage 6H	NC_021867	-	-	46978 nt	63	1	bacteria	07/23/2013	03/26/2014	
Flavobacterium phage FCL-2	NC_027125	-	-	47142 nt	74	-	bacteria	06/02/2015	09/14/2015	
Flavobacterium phage Fpv1	NC_031914	-	-	88994 nt	80	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage Fpv10	NC_031932	-	-	42702 nt	58	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage Fpv11	NC_031945	-	-	42696 nt	58	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage Fpv2	NC_031931	-	-	89010 nt	80	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage Fpv20	NC_031912	-	-	89937 nt	82	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage Fpv3	NC_031904	-	-	88421 nt	79	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage Fpv5	NC_031921	-	-	42696 nt	58	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage Fpv6	NC_031938	-	-	42820 nt	58	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage Fpv7	NC_031905	-	-	42894 nt	58	-	bacteria	11/15/2016	11/15/2016	
Flavobacterium phage Fpv8	NC_031919	-	-	42696 nt	58	-	bacteria	11/15/2016	11/15/2016	
Geobacillus phage GBK2	NC_023612	isolate:GBK2	-	39078 nt	62	-	bacteria	03/04/2014	11/05/2014	
Geobacillus phage GBSV1	NC_008376	-	-	34683 nt	54	-	bacteria	09/26/2006	08/06/2009	
Geobacillus virus E2	NC_009552	-	-	40863 nt	71	-	bacteria	06/11/2007	08/22/2008	
Geobacillus virus E3	NC_029073	-	-	141298 nt	201	-	bacteria	02/05/2016	02/05/2016	
Gokushovirinae Bog1183_53	NC_027633	isolate:Bog1183_53	-	4609 nt	5	-	bacteria	07/28/2015	07/28/2015	
Gokushovirinae Bog5712_52	NC_027636	isolate:Bog5712_52	-	4501 nt	6	-	bacteria	07/28/2015	07/28/2015	
Gokushovirinae Bog8989_22	NC_027637	isolate:Bog8989_22	-	4656 nt	6	-	bacteria	07/28/2015	07/28/2015	
Gokushovirinae Fen672_31	NC_027642	isolate:Fen672_31	-	4624 nt	7	-	bacteria	07/28/2015	07/28/2015	
Gokushovirinae Fen7875_21	NC_027645	isolate:Fen7875_21	-	4631 nt	6	-	bacteria	07/28/2015	07/28/2015	
Gokushovirinae GAIR4	NC_028993	isolate:GAIR4	-	4468 nt	1	-	bacteria	01/05/2016	01/05/2016	
Gokushovirinae GNX3R	NC_028994	isolate:GNX3R	-	4273 nt	1	-	bacteria	01/05/2016	01/05/2016	
Gordonia phage Bachita	NC_030936	-	-	93843 nt	182	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Bantam	NC_031074	-	-	92580 nt	168	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage BaxterFox	NC_031226	-	-	53717 nt	86	-	bacteria	09/27/2016	01/17/2017	
Gordonia phage BetterKatz	NC_031247	-	-	50636 nt	75	-	bacteria	09/27/2016	09/27/2016	
Gordonia phage Blueberry	NC_030943	-	-	54990 nt	86	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Bowser	NC_030930	-	-	46570 nt	67	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage BritBrat	NC_030942	-	-	55524 nt	98	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage CaptainKirk2	NC_031072	-	-	47898 nt	79	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage CarolAnn	NC_031118	-	-	54167 nt	80	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage ClubL	NC_030901	-	-	92618 nt	179	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Cozz	NC_030941	-	-	46600 nt	68	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Cucurbita	NC_031029	-	-	93686 nt	178	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage Demosthenes	NC_030944	-	-	74073 nt	95	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Emalyn	NC_031234	-	-	43982 nt	67	-	bacteria	09/27/2016	09/27/2016	
Gordonia phage Eyre	NC_031122	-	-	44929 nt	74	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage GAL1	NC_031936	-	-	49979 nt	82	-	bacteria	11/15/2016	11/15/2016	
Gordonia phage GMA1	NC_030902	-	-	41207 nt	68	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage GMA3	NC_028668	-	-	77779 nt	104	-	bacteria	12/17/2015	12/17/2015	
Gordonia phage GMA4	NC_030939	-	-	45537 nt	68	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage GMA5	NC_030907	-	-	17562 nt	28	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage GMA6	NC_030906	-	-	83324 nt	115	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage GMA7	NC_028673	-	-	73419 nt	101	-	bacteria	12/17/2015	12/17/2015	
Gordonia phage GRU1	NC_016435	-	-	65766 nt	94	-	bacteria	12/09/2011	12/09/2011	
Gordonia phage GRU3	NC_030935	-	-	17727 nt	26	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage GTE2	NC_015720	-	-	45530 nt	57	-	bacteria	06/29/2011	07/01/2011	
Gordonia phage GTE5	NC_016434	-	-	65839 nt	92	-	bacteria	12/09/2011	12/09/2011	
Gordonia phage GTE6	NC_028665	-	-	56982 nt	86	-	bacteria	12/17/2015	12/17/2015	
Gordonia phage GTE7	NC_016166	-	-	74431 nt	103	-	bacteria	11/29/2011	11/29/2011	
Gordonia phage GTE8	NC_028653	-	-	67617 nt	94	-	bacteria	12/17/2015	12/17/2015	
Gordonia phage Ghobes	NC_031028	-	-	45285 nt	59	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage Gmala1	NC_028972	-	-	75167 nt	90	-	bacteria	01/05/2016	01/05/2016	
Gordonia phage GordDuk1	NC_029060	-	-	76276 nt	97	-	bacteria	02/05/2016	02/05/2016	
Gordonia phage GordTnk2	NC_029074	-	-	75987 nt	98	-	bacteria	02/05/2016	02/05/2016	
Gordonia phage Gsput1	NC_030932	-	-	43505 nt	71	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Guacamole	NC_031265	-	-	49894 nt	78	-	bacteria	09/27/2016	09/27/2016	
Gordonia phage Hedwig	NC_031099	-	-	44536 nt	70	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage Hotorobo	NC_031229	-	-	76972 nt	108	-	bacteria	09/27/2016	09/27/2016	
Gordonia phage JSwag	NC_031060	-	-	52726 nt	101	-	bacteria	09/23/2016	12/07/2017	
Gordonia phage Jumbo	NC_031109	-	-	78302 nt	102	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage KatherineG	NC_030695	-	-	52689 nt	98	-	bacteria	08/01/2016	12/07/2017	
Gordonia phage Kita	NC_031233	-	-	50346 nt	80	-	bacteria	09/27/2016	01/17/2017	
Gordonia phage Kvothe	NC_030914	-	-	75462 nt	99	1	bacteria	09/19/2016	09/19/2016	
Gordonia phage Lucky10	NC_031267	-	-	42979 nt	70	-	bacteria	09/27/2016	09/27/2016	
Gordonia phage McGonagall	NC_030912	-	-	17119 nt	27	1	bacteria	09/19/2016	09/19/2016	
Gordonia phage Monty	NC_030924	-	-	75680 nt	105	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Nyceirae	NC_031004	-	-	41857 nt	60	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage Nymphadora	NC_031061	-	-	53431 nt	84	1	bacteria	09/23/2016	09/23/2016	
Gordonia phage Obliviate	NC_031237	-	-	49286 nt	80	-	bacteria	09/27/2016	09/27/2016	
Gordonia phage OneUp	NC_030917	-	-	93577 nt	163	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Orchid	NC_030915	-	-	80650 nt	114	2	bacteria	09/19/2016	09/19/2016	
Gordonia phage Phinally	NC_031112	-	-	59265 nt	87	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage Remus	NC_031031	-	-	52738 nt	98	1	bacteria	09/23/2016	12/07/2017	
Gordonia phage Rosalind	NC_030694	-	-	52684 nt	99	-	bacteria	08/01/2016	12/07/2017	
Gordonia phage Schwabeltier	NC_031255	-	-	46895 nt	71	-	bacteria	09/27/2016	09/27/2016	
Gordonia phage Smoothie	NC_030696	-	-	93139 nt	179	-	bacteria	08/01/2016	08/01/2016	
Gordonia phage SoilAssassin	NC_031251	-	-	47880 nt	74	1	bacteria	09/27/2016	09/27/2016	
Gordonia phage Soups	NC_030698	-	-	52924 nt	99	-	bacteria	08/01/2016	12/07/2017	
Gordonia phage Splinter	NC_030927	-	-	45858 nt	79	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Terapin	NC_031001	-	-	66611 nt	97	-	bacteria	09/23/2016	01/17/2017	
Gordonia phage Twister6	NC_031052	-	-	57804 nt	93	-	bacteria	09/23/2016	09/23/2016	
Gordonia phage UmaThurman	NC_031249	-	-	50127 nt	83	-	bacteria	09/27/2016	09/27/2016	
Gordonia phage Utz	NC_030921	-	-	49768 nt	71	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Vendetta	NC_030911	-	-	45858 nt	79	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Vivi2	NC_031239	-	-	59337 nt	89	-	bacteria	09/27/2016	09/27/2016	
Gordonia phage Wizard	NC_030913	-	-	58308 nt	89	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Woes	NC_030905	-	-	73752 nt	91	-	bacteria	09/19/2016	09/19/2016	
Gordonia phage Yeezy	NC_031269	-	-	51884 nt	86	-	bacteria	09/27/2016	01/17/2017	
Gordonia phage Yvonnetastic	NC_031230	-	-	98136 nt	198	-	bacteria	09/27/2016	09/27/2016	
Gordonia phage Zirinka	NC_031097	-	-	52077 nt	79	-	bacteria	09/23/2016	01/17/2017	
Guinea pig Chlamydia phage	NC_001998	strain:PhiCPG1	-	4529 nt	9	-	bacteria	01/02/1999	01/30/2016	
Haemophilus phage Aaphi23	NC_004827	-	-	43033 nt	66	-	bacteria	06/03/2003	04/22/2009	
Haemophilus phage SuMu	NC_019455	serotype:5	-	37151 nt	55	-	bacteria	11/16/2012	11/16/2012	
Haemophilus virus HP1	NC_001697	strain:HP1c1	-	32355 nt	42	-	bacteria	10/31/1995	02/10/2015	
Haemophilus virus HP2	NC_003315	-	-	31508 nt	37	-	bacteria	04/22/2001	02/10/2015	
Halocynthia phage JM-2012	NC_017975	-	-	167292 nt	173	-	bacteria	05/31/2012	08/14/2012	
Halomonas virus HAP1	NC_010342	-	-	39245 nt	46	-	bacteria	02/14/2008	04/17/2009	
Halorubrum phage CGphi46	NC_021537	strain:CGphi46	-	39784 nt	55	-	bacteria	06/20/2013	07/07/2013	
Halorubrum pleomorphic virus 1	NC_012558	-	-	7048 nt	9	-	bacteria	04/13/2009	04/15/2009	
Hamiltonella virus APSE1	NC_000935	-	-	36524 nt	54	-	bacteria	10/26/1999	02/10/2015	
Helicobacter phage 1961P	NC_019512	-	-	26836 nt	33	-	bacteria	11/21/2012	11/21/2012	
Helicobacter phage KHP30	NC_019928	-	-	26215 nt	30	-	bacteria	12/19/2012	07/03/2015	
Helicobacter phage KHP40	NC_019931	-	-	26449 nt	32	-	bacteria	12/19/2012	07/03/2015	
Helicobacter phage phiHP33	-	-	2	49290 nt	54	-	bacteria	01/10/2012	08/08/2012	
          Helicobacter phage phiHP33     (24645 nt)     NC_016568     proteins: 27
          Helicobacter phage phiHP33     (24645 nt)     NC_016568     proteins: 27
Hydrogenobaculum phage 1	NC_028651	strain:HP1	-	19351 nt	26	-	bacteria	12/17/2015	12/17/2015	
Idiomarinaceae phage 1N2-2	NC_025439	-	-	34773 nt	56	-	bacteria	11/10/2014	11/10/2014	
Idiomarinaceae phage Phi1M2-2	NC_025471	-	-	36844 nt	65	-	bacteria	11/14/2014	11/14/2014	
Iodobacteriophage phiPLPE	NC_011142	-	-	47453 nt	84	-	bacteria	08/19/2008	07/18/2012	
Klebsiella phage 0507-KN2-1	NC_022343	strain:0507-KN2-1	-	159991 nt	154	-	bacteria	09/12/2013	09/12/2013	
Klebsiella phage 1513	NC_028786	-	-	49462 nt	72	-	bacteria	01/05/2016	01/05/2016	
Klebsiella phage F19	NC_023567	strain:Klebsiella pneumoniae	-	43766 nt	51	-	bacteria	03/04/2014	04/17/2014	
Klebsiella phage JD001	NC_020204	-	-	48814 nt	68	-	bacteria	02/05/2013	02/05/2013	
Klebsiella phage JD18	NC_028686	-	-	166313 nt	278	-	bacteria	12/17/2015	12/17/2015	
Klebsiella phage K11	NC_011043	-	-	41181 nt	51	-	bacteria	07/11/2008	07/18/2012	
Klebsiella phage K5	NC_028800	-	-	41698 nt	46	-	bacteria	01/05/2016	01/05/2016	
Klebsiella phage K64-1	NC_027399	-	-	346602 nt	64	-	bacteria	06/24/2015	06/24/2015	
Klebsiella phage KLPN1	NC_028760	-	-	49037 nt	72	-	bacteria	01/05/2016	01/05/2016	
